a=	+0.000000	b=	+7.000000	n=	+14	h=	+0.500000
x	g(x)	g'(x)	g''(x)
+0.000000	+0.000000	+0.999642	+0.000000
+0.010000	+0.009996	+0.999593	-0.009790
+0.020000	+0.019992	+0.999446	-0.019580
+0.030000	+0.029985	+0.999202	-0.029370
+0.040000	+0.039975	+0.998859	-0.039160
+0.050000	+0.049962	+0.998419	-0.048949
+0.060000	+0.059943	+0.997880	-0.058739
+0.070000	+0.069919	+0.997244	-0.068529
+0.080000	+0.079888	+0.996510	-0.078319
+0.090000	+0.089849	+0.995677	-0.088109
+0.100000	+0.099801	+0.994747	-0.097899
+0.110000	+0.109743	+0.993719	-0.107689
+0.120000	+0.119675	+0.992594	-0.117479
+0.130000	+0.129595	+0.991370	-0.127269
+0.140000	+0.139502	+0.990048	-0.137058
+0.150000	+0.149396	+0.988629	-0.146848
+0.160000	+0.159274	+0.987111	-0.156638
+0.170000	+0.169138	+0.985496	-0.166428
+0.180000	+0.178984	+0.983783	-0.176218
+0.190000	+0.188813	+0.981972	-0.186008
+0.200000	+0.198623	+0.980063	-0.195798
+0.210000	+0.208414	+0.978056	-0.205588
+0.220000	+0.218184	+0.975951	-0.215378
+0.230000	+0.227933	+0.973748	-0.225168
+0.240000	+0.237659	+0.971447	-0.234957
+0.250000	+0.247361	+0.969049	-0.244747
+0.260000	+0.257039	+0.966552	-0.254537
+0.270000	+0.266692	+0.963958	-0.264327
+0.280000	+0.276318	+0.961266	-0.274117
+0.290000	+0.285917	+0.958476	-0.283907
+0.300000	+0.295487	+0.955588	-0.293697
+0.310000	+0.305028	+0.952602	-0.303487
+0.320000	+0.314539	+0.949518	-0.313277
+0.330000	+0.324018	+0.946336	-0.323066
+0.340000	+0.333465	+0.943057	-0.332856
+0.350000	+0.342879	+0.939679	-0.342646
+0.360000	+0.352259	+0.936204	-0.352436
+0.370000	+0.361603	+0.932630	-0.362226
+0.380000	+0.370911	+0.928959	-0.372016
+0.390000	+0.380182	+0.925190	-0.381806
+0.400000	+0.389414	+0.921323	-0.391596
+0.410000	+0.398608	+0.917358	-0.401386
+0.420000	+0.407761	+0.913295	-0.411175
+0.430000	+0.416873	+0.909135	-0.420965
+0.440000	+0.425944	+0.904876	-0.430755
+0.450000	+0.434971	+0.900520	-0.440545
+0.460000	+0.443954	+0.896065	-0.450335
+0.470000	+0.452892	+0.891513	-0.460125
+0.480000	+0.461784	+0.886863	-0.469915
+0.490000	+0.470629	+0.882115	-0.479705
+0.500000	+0.479426	+0.877269	-0.489495
+0.510000	+0.488174	+0.872337	-0.496888
+0.520000	+0.496872	+0.867331	-0.504281
+0.530000	+0.505520	+0.862251	-0.511674
+0.540000	+0.514117	+0.857097	-0.519067
+0.550000	+0.522662	+0.851870	-0.526460
+0.560000	+0.531154	+0.846568	-0.533853
+0.570000	+0.539593	+0.841193	-0.541245
+0.580000	+0.547978	+0.835743	-0.548638
+0.590000	+0.556307	+0.830220	-0.556031
+0.600000	+0.564582	+0.824623	-0.563424
+0.610000	+0.572800	+0.818951	-0.570817
+0.620000	+0.580960	+0.813206	-0.578210
+0.630000	+0.589064	+0.807387	-0.585603
+0.640000	+0.597108	+0.801494	-0.592996
+0.650000	+0.605093	+0.795527	-0.600389
+0.660000	+0.613018	+0.789486	-0.607782
+0.670000	+0.620883	+0.783372	-0.615175
+0.680000	+0.628685	+0.777183	-0.622568
+0.690000	+0.636426	+0.770920	-0.629961
+0.700000	+0.644104	+0.764584	-0.637354
+0.710000	+0.651717	+0.758173	-0.644747
+0.720000	+0.659267	+0.751689	-0.652140
+0.730000	+0.666751	+0.745130	-0.659533
+0.740000	+0.674169	+0.738498	-0.666926
+0.750000	+0.681521	+0.731792	-0.674319
+0.760000	+0.688805	+0.725012	-0.681712
+0.770000	+0.696021	+0.718158	-0.689105
+0.780000	+0.703168	+0.711230	-0.696498
+0.790000	+0.710245	+0.704228	-0.703891
+0.800000	+0.717252	+0.697152	-0.711284
+0.810000	+0.724188	+0.690002	-0.718677
+0.820000	+0.731052	+0.682778	-0.726070
+0.830000	+0.737843	+0.675481	-0.733463
+0.840000	+0.744561	+0.668109	-0.740856
+0.850000	+0.751205	+0.660664	-0.748249
+0.860000	+0.757774	+0.653144	-0.755642
+0.870000	+0.764268	+0.645551	-0.763035
+0.880000	+0.770685	+0.637883	-0.770428
+0.890000	+0.777025	+0.630142	-0.777821
+0.900000	+0.783288	+0.622327	-0.785214
+0.910000	+0.789471	+0.614438	-0.792607
+0.920000	+0.795576	+0.606475	-0.800000
+0.930000	+0.801601	+0.598438	-0.807393
+0.940000	+0.807545	+0.590327	-0.814786
+0.950000	+0.813407	+0.582142	-0.822179
+0.960000	+0.819187	+0.573883	-0.829572
+0.970000	+0.824884	+0.565551	-0.836965
+0.980000	+0.830498	+0.557144	-0.844358
+0.990000	+0.836027	+0.548664	-0.851751
+1.000000	+0.841471	+0.540109	-0.859144
+1.010000	+0.846829	+0.531502	-0.862330
+1.020000	+0.852101	+0.522862	-0.865516
+1.030000	+0.857286	+0.514191	-0.868702
+1.040000	+0.862385	+0.505488	-0.871888
+1.050000	+0.867396	+0.496754	-0.875074
+1.060000	+0.872320	+0.487987	-0.878260
+1.070000	+0.877156	+0.479188	-0.881446
+1.080000	+0.881903	+0.470358	-0.884632
+1.090000	+0.886563	+0.461496	-0.887818
+1.100000	+0.891133	+0.452602	-0.891004
+1.110000	+0.895614	+0.443676	-0.894190
+1.120000	+0.900006	+0.434718	-0.897376
+1.130000	+0.904309	+0.425728	-0.900562
+1.140000	+0.908521	+0.416707	-0.903748
+1.150000	+0.912643	+0.407653	-0.906934
+1.160000	+0.916674	+0.398568	-0.910120
+1.170000	+0.920614	+0.389451	-0.913306
+1.180000	+0.924463	+0.380302	-0.916492
+1.190000	+0.928220	+0.371121	-0.919678
+1.200000	+0.931885	+0.361908	-0.922864
+1.210000	+0.935458	+0.352664	-0.926050
+1.220000	+0.938938	+0.343387	-0.929236
+1.230000	+0.942326	+0.334079	-0.932422
+1.240000	+0.945620	+0.324739	-0.935608
+1.250000	+0.948820	+0.315367	-0.938794
+1.260000	+0.951927	+0.305963	-0.941980
+1.270000	+0.954939	+0.296527	-0.945166
+1.280000	+0.957857	+0.287060	-0.948352
+1.290000	+0.960681	+0.277560	-0.951539
+1.300000	+0.963409	+0.268029	-0.954725
+1.310000	+0.966041	+0.258466	-0.957911
+1.320000	+0.968578	+0.248871	-0.961097
+1.330000	+0.971018	+0.239244	-0.964283
+1.340000	+0.973362	+0.229585	-0.967469
+1.350000	+0.975610	+0.219894	-0.970655
+1.360000	+0.977760	+0.210172	-0.973841
+1.370000	+0.979813	+0.200418	-0.977027
+1.380000	+0.981769	+0.190631	-0.980213
+1.390000	+0.983626	+0.180813	-0.983399
+1.400000	+0.985385	+0.170963	-0.986585
+1.410000	+0.987045	+0.161082	-0.989771
+1.420000	+0.988606	+0.151168	-0.992957
+1.430000	+0.990068	+0.141222	-0.996143
+1.440000	+0.991431	+0.131245	-0.999329
+1.450000	+0.992693	+0.121236	-1.002515
+1.460000	+0.993855	+0.111195	-1.005701
+1.470000	+0.994917	+0.101122	-1.008887
+1.480000	+0.995877	+0.091017	-1.012073
+1.490000	+0.996737	+0.080880	-1.015259
+1.500000	+0.997495	+0.070712	-1.018445
+1.510000	+0.998151	+0.060536	-1.016644
+1.520000	+0.998706	+0.050379	-1.014843
+1.530000	+0.999159	+0.040240	-1.013042
+1.540000	+0.999511	+0.030118	-1.011241
+1.550000	+0.999761	+0.020015	-1.009440
+1.560000	+0.999911	+0.009929	-1.007639
+1.570000	+0.999960	-0.000138	-1.005838
+1.580000	+0.999908	-0.010187	-1.004037
+1.590000	+0.999756	-0.020219	-1.002236
+1.600000	+0.999504	-0.030232	-1.000435
+1.610000	+0.999152	-0.040227	-0.998634
+1.620000	+0.998699	-0.050205	-0.996833
+1.630000	+0.998148	-0.060164	-0.995032
+1.640000	+0.997496	-0.070105	-0.993231
+1.650000	+0.996746	-0.080029	-0.991430
+1.660000	+0.995896	-0.089934	-0.989629
+1.670000	+0.994947	-0.099821	-0.987828
+1.680000	+0.993899	-0.109691	-0.986026
+1.690000	+0.992753	-0.119542	-0.984225
+1.700000	+0.991509	-0.129375	-0.982424
+1.710000	+0.990166	-0.139190	-0.980623
+1.720000	+0.988725	-0.148988	-0.978822
+1.730000	+0.987186	-0.158767	-0.977021
+1.740000	+0.985550	-0.168528	-0.975220
+1.750000	+0.983816	-0.178271	-0.973419
+1.760000	+0.981984	-0.187996	-0.971618
+1.770000	+0.980056	-0.197704	-0.969817
+1.780000	+0.978030	-0.207393	-0.968016
+1.790000	+0.975908	-0.217064	-0.966215
+1.800000	+0.973689	-0.226717	-0.964414
+1.810000	+0.971374	-0.236352	-0.962613
+1.820000	+0.968962	-0.245969	-0.960812
+1.830000	+0.966454	-0.255568	-0.959011
+1.840000	+0.963851	-0.265150	-0.957210
+1.850000	+0.961151	-0.274713	-0.955409
+1.860000	+0.958356	-0.284258	-0.953608
+1.870000	+0.955466	-0.293785	-0.951807
+1.880000	+0.952481	-0.303294	-0.950006
+1.890000	+0.949400	-0.312785	-0.948205
+1.900000	+0.946225	-0.322258	-0.946404
+1.910000	+0.942955	-0.331713	-0.944603
+1.920000	+0.939591	-0.341150	-0.942802
+1.930000	+0.936132	-0.350569	-0.941001
+1.940000	+0.932580	-0.359970	-0.939200
+1.950000	+0.928933	-0.369353	-0.937399
+1.960000	+0.925193	-0.378718	-0.935598
+1.970000	+0.921359	-0.388065	-0.933797
+1.980000	+0.917431	-0.397394	-0.931996
+1.990000	+0.913411	-0.406705	-0.930195
+2.000000	+0.909297	-0.415998	-0.928394
+2.010000	+0.905091	-0.425250	-0.922047
+2.020000	+0.900793	-0.434439	-0.915700
+2.030000	+0.896403	-0.443564	-0.909353
+2.040000	+0.891922	-0.452626	-0.903006
+2.050000	+0.887350	-0.461624	-0.896659
+2.060000	+0.882689	-0.470559	-0.890312
+2.070000	+0.877939	-0.479430	-0.883965
+2.080000	+0.873101	-0.488238	-0.877618
+2.090000	+0.868175	-0.496983	-0.871271
+2.100000	+0.863161	-0.505664	-0.864924
+2.110000	+0.858062	-0.514281	-0.858577
+2.120000	+0.852876	-0.522835	-0.852230
+2.130000	+0.847605	-0.531326	-0.845883
+2.140000	+0.842250	-0.539753	-0.839536
+2.150000	+0.836810	-0.548117	-0.833189
+2.160000	+0.831288	-0.556417	-0.826842
+2.170000	+0.825682	-0.564653	-0.820495
+2.180000	+0.819995	-0.572827	-0.814148
+2.190000	+0.814226	-0.580936	-0.807802
+2.200000	+0.808376	-0.588983	-0.801455
+2.210000	+0.802446	-0.596965	-0.795108
+2.220000	+0.796437	-0.604885	-0.788761
+2.230000	+0.790349	-0.612741	-0.782414
+2.240000	+0.784183	-0.620533	-0.776067
+2.250000	+0.777939	-0.628262	-0.769720
+2.260000	+0.771618	-0.635927	-0.763373
+2.270000	+0.765220	-0.643529	-0.757026
+2.280000	+0.758747	-0.651068	-0.750679
+2.290000	+0.752199	-0.658543	-0.744332
+2.300000	+0.745577	-0.665955	-0.737985
+2.310000	+0.738880	-0.673303	-0.731638
+2.320000	+0.732111	-0.680587	-0.725291
+2.330000	+0.725269	-0.687809	-0.718944
+2.340000	+0.718355	-0.694966	-0.712597
+2.350000	+0.711370	-0.702060	-0.706250
+2.360000	+0.704314	-0.709091	-0.699903
+2.370000	+0.697188	-0.716059	-0.693557
+2.380000	+0.689993	-0.722962	-0.687210
+2.390000	+0.682729	-0.729803	-0.680863
+2.400000	+0.675397	-0.736580	-0.674516
+2.410000	+0.667997	-0.743293	-0.668169
+2.420000	+0.660531	-0.749943	-0.661822
+2.430000	+0.652999	-0.756529	-0.655475
+2.440000	+0.645401	-0.763053	-0.649128
+2.450000	+0.637738	-0.769512	-0.642781
+2.460000	+0.630011	-0.775908	-0.636434
+2.470000	+0.622220	-0.782241	-0.630087
+2.480000	+0.614366	-0.788510	-0.623740
+2.490000	+0.606450	-0.794716	-0.617393
+2.500000	+0.598472	-0.800858	-0.611046
+2.510000	+0.590433	-0.806921	-0.601707
+2.520000	+0.582334	-0.812892	-0.592367
+2.530000	+0.574176	-0.818769	-0.583027
+2.540000	+0.565959	-0.824552	-0.573688
+2.550000	+0.557685	-0.830243	-0.564348
+2.560000	+0.549354	-0.835839	-0.555009
+2.570000	+0.540968	-0.841343	-0.545669
+2.580000	+0.532528	-0.846753	-0.536329
+2.590000	+0.524034	-0.852069	-0.526990
+2.600000	+0.515487	-0.857293	-0.517650
+2.610000	+0.506888	-0.862422	-0.508311
+2.620000	+0.498239	-0.867459	-0.498971
+2.630000	+0.489539	-0.872402	-0.489631
+2.640000	+0.480791	-0.877251	-0.480292
+2.650000	+0.471995	-0.882008	-0.470952
+2.660000	+0.463151	-0.886670	-0.461613
+2.670000	+0.454261	-0.891240	-0.452273
+2.680000	+0.445327	-0.895716	-0.442933
+2.690000	+0.436347	-0.900099	-0.433594
+2.700000	+0.427325	-0.904388	-0.424254
+2.710000	+0.418260	-0.908584	-0.414915
+2.720000	+0.409154	-0.912686	-0.405575
+2.730000	+0.400007	-0.916695	-0.396235
+2.740000	+0.390820	-0.920611	-0.386896
+2.750000	+0.381595	-0.924433	-0.377556
+2.760000	+0.372332	-0.928162	-0.368217
+2.770000	+0.363032	-0.931797	-0.358877
+2.780000	+0.353696	-0.935339	-0.349537
+2.790000	+0.344325	-0.938788	-0.340198
+2.800000	+0.334921	-0.942143	-0.330858
+2.810000	+0.325483	-0.945405	-0.321519
+2.820000	+0.316013	-0.948574	-0.312179
+2.830000	+0.306512	-0.951649	-0.302839
+2.840000	+0.296980	-0.954631	-0.293500
+2.850000	+0.287419	-0.957519	-0.284160
+2.860000	+0.277830	-0.960314	-0.274820
+2.870000	+0.268213	-0.963015	-0.265481
+2.880000	+0.258570	-0.965623	-0.256141
+2.890000	+0.248901	-0.968138	-0.246802
+2.900000	+0.239208	-0.970559	-0.237462
+2.910000	+0.229490	-0.972887	-0.228122
+2.920000	+0.219750	-0.975122	-0.218783
+2.930000	+0.209988	-0.977263	-0.209443
+2.940000	+0.200205	-0.979311	-0.200104
+2.950000	+0.190402	-0.981265	-0.190764
+2.960000	+0.180580	-0.983126	-0.181424
+2.970000	+0.170740	-0.984894	-0.172085
+2.980000	+0.160883	-0.986568	-0.162745
+2.990000	+0.151009	-0.988148	-0.153406
+3.000000	+0.141120	-0.989636	-0.144066
+3.010000	+0.131217	-0.991026	-0.134023
+3.020000	+0.121300	-0.992316	-0.123980
+3.030000	+0.111371	-0.993506	-0.113937
+3.040000	+0.101430	-0.994595	-0.103894
+3.050000	+0.091479	-0.995584	-0.093851
+3.060000	+0.081519	-0.996472	-0.083808
+3.070000	+0.071550	-0.997260	-0.073765
+3.080000	+0.061574	-0.997947	-0.063722
+3.090000	+0.051591	-0.998534	-0.053679
+3.100000	+0.041603	-0.999021	-0.043636
+3.110000	+0.031611	-0.999407	-0.033593
+3.120000	+0.021616	-0.999693	-0.023550
+3.130000	+0.011618	-0.999878	-0.013507
+3.140000	+0.001618	-0.999963	-0.003464
+3.150000	-0.008381	-0.999947	+0.006579
+3.160000	-0.018380	-0.999831	+0.016622
+3.170000	-0.028377	-0.999615	+0.026665
+3.180000	-0.038372	-0.999298	+0.036708
+3.190000	-0.048363	-0.998881	+0.046751
+3.200000	-0.058349	-0.998363	+0.056794
+3.210000	-0.068330	-0.997745	+0.066837
+3.220000	-0.078304	-0.997026	+0.076880
+3.230000	-0.088270	-0.996207	+0.086923
+3.240000	-0.098228	-0.995288	+0.096966
+3.250000	-0.108176	-0.994268	+0.107009
+3.260000	-0.118113	-0.993148	+0.117052
+3.270000	-0.128038	-0.991927	+0.127095
+3.280000	-0.137951	-0.990606	+0.137138
+3.290000	-0.147850	-0.989184	+0.147181
+3.300000	-0.157734	-0.987662	+0.157224
+3.310000	-0.167603	-0.986040	+0.167267
