a=	-1.000000	b=	+1.000000	n=	+80	h=	+0.025000
x	g(x)	g'(x)	g''(x)
-1.000000	-0.073754	+0.001171	+0.000000
-0.999000	-0.073753	+0.001171	+0.000000
-0.998000	-0.073752	+0.001171	+0.000000
-0.997000	-0.073751	+0.001171	+0.000000
-0.996000	-0.073749	+0.001171	+0.000000
-0.995000	-0.073748	+0.001171	+0.000000
-0.994000	-0.073747	+0.001171	+0.000000
-0.993000	-0.073746	+0.001171	+0.000000
-0.992000	-0.073745	+0.001171	+0.000000
-0.991000	-0.073743	+0.001171	+0.000000
-0.990000	-0.073742	+0.001171	+0.000000
-0.989000	-0.073741	+0.001171	+0.000000
-0.988000	-0.073740	+0.001171	+0.000000
-0.987000	-0.073739	+0.001171	+0.000000
-0.986000	-0.073738	+0.001171	+0.000000
-0.985000	-0.073736	+0.001171	+0.000000
-0.984000	-0.073735	+0.001171	+0.000000
-0.983000	-0.073734	+0.001171	+0.000000
-0.982000	-0.073733	+0.001171	+0.000000
-0.981000	-0.073732	+0.001171	+0.000000
-0.980000	-0.073731	+0.001171	+0.000000
-0.979000	-0.073729	+0.001171	+0.000000
-0.978000	-0.073728	+0.001171	+0.000000
-0.977000	-0.073727	+0.001171	+0.000000
-0.976000	-0.073726	+0.001171	+0.000000
-0.975000	-0.073725	+0.001171	+0.000000
-0.974000	-0.073714	+0.010253	+0.000000
-0.973000	-0.073704	+0.010253	+0.000000
-0.972000	-0.073694	+0.010253	+0.000000
-0.971000	-0.073684	+0.010253	+0.000000
-0.970000	-0.073673	+0.010253	+0.000000
-0.969000	-0.073663	+0.010253	+0.000000
-0.968000	-0.073653	+0.010253	+0.000000
-0.967000	-0.073643	+0.010253	+0.000000
-0.966000	-0.073632	+0.010253	+0.000000
-0.965000	-0.073622	+0.010253	+0.000000
-0.964000	-0.073612	+0.010253	+0.000000
-0.963000	-0.073602	+0.010253	+0.000000
-0.962000	-0.073591	+0.010253	+0.000000
-0.961000	-0.073581	+0.010253	+0.000000
-0.960000	-0.073571	+0.010253	+0.000000
-0.959000	-0.073561	+0.010253	+0.000000
-0.958000	-0.073550	+0.010253	+0.000000
-0.957000	-0.073540	+0.010253	+0.000000
-0.956000	-0.073530	+0.010253	+0.000000
-0.955000	-0.073520	+0.010253	+0.000000
-0.954000	-0.073509	+0.010253	+0.000000
-0.953000	-0.073499	+0.010253	+0.000000
-0.952000	-0.073489	+0.010253	+0.000000
-0.951000	-0.073479	+0.010253	+0.000000
-0.950000	-0.073468	+0.010253	+0.000000
-0.949000	-0.073457	+0.011192	+0.000000
-0.948000	-0.073446	+0.011192	+0.000000
-0.947000	-0.073435	+0.011192	+0.000000
-0.946000	-0.073424	+0.011192	+0.000000
-0.945000	-0.073412	+0.011192	+0.000000
-0.944000	-0.073401	+0.011192	+0.000000
-0.943000	-0.073390	+0.011192	+0.000000
-0.942000	-0.073379	+0.011192	+0.000000
-0.941000	-0.073368	+0.011192	+0.000000
-0.940000	-0.073357	+0.011192	+0.000000
-0.939000	-0.073345	+0.011192	+0.000000
-0.938000	-0.073334	+0.011192	+0.000000
-0.937000	-0.073323	+0.011192	+0.000000
-0.936000	-0.073312	+0.011192	+0.000000
-0.935000	-0.073301	+0.011192	+0.000000
-0.934000	-0.073289	+0.011192	+0.000000
-0.933000	-0.073278	+0.011192	+0.000000
-0.932000	-0.073267	+0.011192	+0.000000
-0.931000	-0.073256	+0.011192	+0.000000
-0.930000	-0.073245	+0.011192	+0.000000
-0.929000	-0.073233	+0.011192	+0.000000
-0.928000	-0.073222	+0.011192	+0.000000
-0.927000	-0.073211	+0.011192	+0.000000
-0.926000	-0.073200	+0.011192	+0.000000
-0.925000	-0.073189	+0.011192	+0.000000
-0.924000	-0.073170	+0.018986	+0.000000
-0.923000	-0.073151	+0.018986	+0.000000
-0.922000	-0.073132	+0.018986	+0.000000
-0.921000	-0.073113	+0.018986	+0.000000
-0.920000	-0.073094	+0.018986	+0.000000
-0.919000	-0.073075	+0.018986	+0.000000
-0.918000	-0.073056	+0.018986	+0.000000
-0.917000	-0.073037	+0.018986	+0.000000
-0.916000	-0.073018	+0.018986	+0.000000
-0.915000	-0.072999	+0.018986	+0.000000
-0.914000	-0.072980	+0.018986	+0.000000
-0.913000	-0.072961	+0.018986	+0.000000
-0.912000	-0.072942	+0.018986	+0.000000
-0.911000	-0.072923	+0.018986	+0.000000
