a=+0.000000;b=+1.000000;n=+20;h=+0.050000
x	f(x)	f'(x)	f''(x)
+0.000000	+0.000000	-0.000072	+0.000000
+0.010000	-0.000001	-0.000049	+0.004732
+0.020000	-0.000001	+0.000022	+0.009464
+0.030000	-0.000000	+0.000141	+0.014196
+0.040000	+0.000002	+0.000306	+0.018928
+0.050000	+0.000006	+0.000519	+0.023660
+0.060000	+0.000013	+0.000848	+0.042000
+0.070000	+0.000024	+0.001359	+0.060340
+0.080000	+0.000041	+0.002054	+0.078679
+0.090000	+0.000066	+0.002933	+0.097019
+0.100000	+0.000100	+0.003995	+0.115359
+0.110000	+0.000146	+0.005298	+0.145268
+0.120000	+0.000207	+0.006900	+0.175177
+0.130000	+0.000285	+0.008801	+0.205086
+0.140000	+0.000384	+0.011002	+0.234995
+0.150000	+0.000506	+0.013501	+0.264904
+0.160000	+0.000655	+0.016361	+0.306928
+0.170000	+0.000835	+0.019640	+0.348953
+0.180000	+0.001049	+0.023340	+0.390977
+0.190000	+0.001303	+0.027459	+0.433001
+0.200000	+0.001600	+0.032000	+0.475026
+0.210000	+0.001945	+0.037020	+0.529019
+0.220000	+0.002342	+0.042580	+0.583013
+0.230000	+0.002798	+0.048680	+0.637006
+0.240000	+0.003318	+0.055320	+0.691000
+0.250000	+0.003906	+0.062500	+0.744993
+0.260000	+0.004570	+0.070280	+0.810995
+0.270000	+0.005314	+0.078720	+0.876997
+0.280000	+0.006146	+0.087820	+0.942998
+0.290000	+0.007073	+0.097580	+1.009000
+0.300000	+0.008100	+0.108000	+1.075002
+0.310000	+0.009235	+0.119140	+1.153001
+0.320000	+0.010485	+0.131060	+1.231001
+0.330000	+0.011859	+0.143760	+1.309001
+0.340000	+0.013363	+0.157240	+1.387000
+0.350000	+0.015006	+0.171500	+1.465000
+0.360000	+0.016796	+0.186600	+1.555000
+0.370000	+0.018741	+0.202600	+1.644999
+0.380000	+0.020851	+0.219500	+1.734999
+0.390000	+0.023134	+0.237300	+1.824999
+0.400000	+0.025600	+0.256000	+1.914998
+0.410000	+0.028257	+0.275660	+2.017000
+0.420000	+0.031117	+0.296340	+2.119002
+0.430000	+0.034188	+0.318040	+2.221003
+0.440000	+0.037481	+0.340760	+2.323005
+0.450000	+0.041006	+0.364500	+2.425006
+0.460000	+0.044774	+0.389320	+2.539000
+0.470000	+0.048796	+0.415280	+2.652995
+0.480000	+0.053084	+0.442380	+2.766989
+0.490000	+0.057648	+0.470620	+2.880983
+0.500000	+0.062500	+0.500000	+2.994977
+0.510000	+0.067652	+0.530580	+3.120999
+0.520000	+0.073116	+0.562420	+3.247020
+0.530000	+0.078904	+0.595520	+3.373042
+0.540000	+0.085030	+0.629880	+3.499064
+0.550000	+0.091506	+0.665501	+3.625085
+0.560000	+0.098345	+0.702442	+3.763005
+0.570000	+0.105560	+0.740761	+3.900924
+0.580000	+0.113165	+0.780460	+4.038843
+0.590000	+0.121173	+0.821538	+4.176762
+0.600000	+0.129600	+0.863995	+4.314681
+0.610000	+0.138458	+0.907894	+4.464983
+0.620000	+0.147763	+0.953295	+4.615285
+0.630000	+0.157529	+1.000199	+4.765586
+0.640000	+0.167772	+1.048607	+4.915888
+0.650000	+0.178506	+1.098517	+5.066190
+0.660000	+0.189747	+1.149983	+5.227064
+0.670000	+0.201511	+1.203058	+5.387938
+0.680000	+0.213814	+1.257742	+5.548812
+0.690000	+0.226671	+1.314035	+5.709686
+0.700000	+0.240100	+1.371936	+5.870561
+0.710000	+0.254116	+1.431533	+6.048762
+0.720000	+0.268737	+1.492911	+6.226964
+0.730000	+0.283980	+1.556072	+6.405165
+0.740000	+0.299864	+1.621014	+6.583366
+0.750000	+0.316406	+1.687739	+6.761568
+0.760000	+0.333625	+1.756206	+6.931888
+0.770000	+0.351536	+1.826377	+7.102208
+0.780000	+0.370158	+1.898251	+7.272528
+0.790000	+0.389507	+1.971827	+7.442848
+0.800000	+0.409600	+2.047108	+7.613168
+0.810000	+0.430456	+2.124522	+7.869686
+0.820000	+0.452099	+2.204501	+8.126204
+0.830000	+0.474555	+2.287046	+8.382722
+0.840000	+0.497848	+2.372156	+8.639240
+0.850000	+0.522006	+2.459831	+8.895758
+0.860000	+0.547049	+2.548746	+8.887366
+0.870000	+0.572981	+2.637578	+8.878974
+0.880000	+0.599800	+2.726326	+8.870582
+0.890000	+0.627507	+2.814990	+8.862190
+0.900000	+0.656100	+2.903570	+8.853798
+0.910000	+0.685596	+2.997293	+9.890848
+0.920000	+0.716080	+3.101387	+10.927899
+0.930000	+0.747658	+3.215851	+11.964949
+0.940000	+0.780432	+3.340686	+13.002000
+0.950000	+0.814506	+3.475891	+14.039051
+0.960000	+0.849920	+3.602242	+11.231240
+0.970000	+0.886458	+3.700516	+8.423430
+0.980000	+0.923837	+3.770711	+5.615620
+0.990000	+0.961778	+3.812828	+2.807810
