a=	-1.000000	b=	+1.000000	n=	+40	h=	+0.050000
x	g(x)	g'(x)	g''(x)
-1.000000	-0.036960	+0.001357	+0.000000
-0.999000	-0.036958	+0.001357	+0.000000
-0.998000	-0.036957	+0.001357	+0.000000
-0.997000	-0.036956	+0.001357	+0.000000
-0.996000	-0.036954	+0.001357	+0.000000
-0.995000	-0.036953	+0.001357	+0.000000
-0.994000	-0.036951	+0.001357	+0.000000
-0.993000	-0.036950	+0.001357	+0.000000
-0.992000	-0.036949	+0.001357	+0.000000
-0.991000	-0.036947	+0.001357	+0.000000
-0.990000	-0.036946	+0.001357	+0.000000
-0.989000	-0.036945	+0.001357	+0.000000
-0.988000	-0.036943	+0.001357	+0.000000
-0.987000	-0.036942	+0.001357	+0.000000
-0.986000	-0.036941	+0.001357	+0.000000
-0.985000	-0.036939	+0.001357	+0.000000
-0.984000	-0.036938	+0.001357	+0.000000
-0.983000	-0.036937	+0.001357	+0.000000
-0.982000	-0.036935	+0.001357	+0.000000
-0.981000	-0.036934	+0.001357	+0.000000
-0.980000	-0.036932	+0.001357	+0.000000
-0.979000	-0.036931	+0.001357	+0.000000
-0.978000	-0.036930	+0.001357	+0.000000
-0.977000	-0.036928	+0.001357	+0.000000
-0.976000	-0.036927	+0.001357	+0.000000
-0.975000	-0.036926	+0.001357	+0.000000
-0.974000	-0.036924	+0.001357	+0.000000
-0.973000	-0.036923	+0.001357	+0.000000
-0.972000	-0.036922	+0.001357	+0.000000
-0.971000	-0.036920	+0.001357	+0.000000
-0.970000	-0.036919	+0.001357	+0.000000
-0.969000	-0.036918	+0.001357	+0.000000
-0.968000	-0.036916	+0.001357	+0.000000
-0.967000	-0.036915	+0.001357	+0.000000
-0.966000	-0.036913	+0.001357	+0.000000
-0.965000	-0.036912	+0.001357	+0.000000
-0.964000	-0.036911	+0.001357	+0.000000
-0.963000	-0.036909	+0.001357	+0.000000
-0.962000	-0.036908	+0.001357	+0.000000
-0.961000	-0.036907	+0.001357	+0.000000
-0.960000	-0.036905	+0.001357	+0.000000
-0.959000	-0.036904	+0.001357	+0.000000
-0.958000	-0.036903	+0.001357	+0.000000
-0.957000	-0.036901	+0.001357	+0.000000
-0.956000	-0.036900	+0.001357	+0.000000
-0.955000	-0.036899	+0.001357	+0.000000
-0.954000	-0.036897	+0.001357	+0.000000
-0.953000	-0.036896	+0.001357	+0.000000
-0.952000	-0.036894	+0.001357	+0.000000
-0.951000	-0.036893	+0.001357	+0.000000
-0.950000	-0.036892	+0.001357	+0.000000
-0.949000	-0.036889	+0.002666	+0.000000
-0.948000	-0.036886	+0.002666	+0.000000
-0.947000	-0.036884	+0.002666	+0.000000
-0.946000	-0.036881	+0.002666	+0.000000
-0.945000	-0.036878	+0.002666	+0.000000
-0.944000	-0.036876	+0.002666	+0.000000
-0.943000	-0.036873	+0.002666	+0.000000
-0.942000	-0.036870	+0.002666	+0.000000
-0.941000	-0.036868	+0.002666	+0.000000
-0.940000	-0.036865	+0.002666	+0.000000
-0.939000	-0.036862	+0.002666	+0.000000
-0.938000	-0.036860	+0.002666	+0.000000
-0.937000	-0.036857	+0.002666	+0.000000
-0.936000	-0.036854	+0.002666	+0.000000
-0.935000	-0.036852	+0.002666	+0.000000
-0.934000	-0.036849	+0.002666	+0.000000
