a=	+0.999050	b=	+1.000000	n=	+20	r=	+3.500000
x	g(x)	g'(x)	g''(x)
+0.999050	+0.998101	+2.001152	+8.388279
+0.999051	+0.998103	+1.998106	+8.360127
+0.999052	+0.998105	+1.998114	+8.331974
+0.999053	+0.998107	+1.998122	+8.303822
+0.999054	+0.998109	+1.998131	+8.275670
+0.999055	+0.998111	+1.998139	+8.247518
+0.999056	+0.998113	+1.998147	+8.219366
+0.999057	+0.998115	+1.998155	+8.191214
+0.999058	+0.998117	+1.998163	+8.163061
+0.999059	+0.998119	+1.998172	+8.134909
+0.999060	+0.998121	+1.998180	+8.106757
+0.999061	+0.998123	+1.998188	+8.078605
+0.999062	+0.998125	+1.998196	+8.050453
+0.999063	+0.998127	+1.998204	+8.022300
+0.999064	+0.998129	+1.998212	+7.994148
+0.999065	+0.998131	+1.998220	+7.965996
+0.999066	+0.998133	+1.998228	+7.937844
+0.999067	+0.998135	+1.998236	+7.909692
+0.999068	+0.998137	+1.998244	+7.881539
+0.999069	+0.998139	+1.998251	+7.853387
+0.999070	+0.998141	+1.998259	+7.825235
+0.999071	+0.998143	+1.998267	+7.797083
+0.999072	+0.998145	+1.998275	+7.768931
+0.999073	+0.998147	+1.998283	+7.740779
+0.999074	+0.998149	+1.998290	+7.712626
+0.999075	+0.998151	+1.998298	+7.684474
+0.999076	+0.998153	+1.998306	+7.656322
+0.999077	+0.998155	+1.998313	+7.628170
+0.999078	+0.998157	+1.998321	+7.600018
+0.999079	+0.998159	+1.998329	+7.571865
+0.999080	+0.998160	+1.998336	+7.543713
+0.999081	+0.998162	+1.998344	+7.515561
+0.999082	+0.998164	+1.998351	+7.487409
+0.999083	+0.998166	+1.998359	+7.459257
+0.999084	+0.998168	+1.998366	+7.431105
+0.999085	+0.998170	+1.998374	+7.402952
+0.999086	+0.998172	+1.998381	+7.374800
+0.999087	+0.998174	+1.998388	+7.346648
+0.999088	+0.998176	+1.998396	+7.318496
+0.999089	+0.998178	+1.998403	+7.290344
+0.999090	+0.998180	+1.998410	+7.262191
+0.999091	+0.998182	+1.998417	+7.234039
+0.999092	+0.998184	+1.998425	+7.205887
+0.999093	+0.998186	+1.998432	+7.177735
+0.999094	+0.998188	+1.998439	+7.149583
+0.999095	+0.998190	+1.998446	+7.121430
+0.999096	+0.998192	+1.998453	+7.093278
+0.999097	+0.998194	+1.998460	+7.065126
+0.999098	+0.998196	+1.998467	+7.036974
+0.999099	+0.998198	+1.998474	+7.008822
+0.999100	+0.998200	+1.998481	+6.980670
+0.999101	+0.998202	+1.998488	+6.952517
+0.999102	+0.998204	+1.998495	+6.924365
+0.999103	+0.998206	+1.998502	+6.896213
+0.999104	+0.998208	+1.998509	+6.868061
+0.999105	+0.998210	+1.998516	+6.839909
+0.999106	+0.998212	+1.998523	+6.811756
+0.999107	+0.998214	+1.998530	+6.783604
+0.999108	+0.998216	+1.998536	+6.755452
+0.999109	+0.998218	+1.998543	+6.727300
+0.999110	+0.998220	+1.998550	+6.699148
+0.999111	+0.998222	+1.998557	+6.670995
+0.999112	+0.998224	+1.998563	+6.642843
+0.999113	+0.998226	+1.998570	+6.614691
+0.999114	+0.998228	+1.998576	+6.586539
+0.999115	+0.998230	+1.998583	+6.558387
+0.999116	+0.998232	+1.998590	+6.530235
+0.999117	+0.998234	+1.998596	+6.502082
+0.999118	+0.998236	+1.998603	+6.473930
+0.999119	+0.998238	+1.998609	+6.445778
+0.999120	+0.998240	+1.998615	+6.417626
+0.999121	+0.998242	+1.998622	+6.389474
+0.999122	+0.998244	+1.998628	+6.361321
+0.999123	+0.998246	+1.998635	+6.333169
+0.999124	+0.998248	+1.998641	+6.305017
+0.999125	+0.998250	+1.998647	+6.276865
+0.999126	+0.998252	+1.998653	+6.248713
+0.999127	+0.998254	+1.998660	+6.220560
+0.999128	+0.998256	+1.998666	+6.192408
+0.999129	+0.998258	+1.998672	+6.164256
+0.999130	+0.998260	+1.998678	+6.136104
+0.999131	+0.998262	+1.998684	+6.107952
+0.999132	+0.998264	+1.998690	+6.079800
