a=	+0.000000	b=	+1.000000	n=	+10	h=	+0.100000
x	g(x)	g'(x)	g''(x)
+0.000000	+0.000000	+0.057735	+0.000000
+0.010000	+0.000582	+0.059003	+0.253591
+0.020000	+0.001189	+0.062807	+0.507182
+0.030000	+0.001846	+0.069146	+0.760773
+0.040000	+0.002580	+0.078022	+1.014365
+0.050000	+0.003415	+0.089434	+1.267956
+0.060000	+0.004377	+0.103381	+1.521547
+0.070000	+0.005491	+0.119865	+1.775138
+0.080000	+0.006783	+0.138884	+2.028729
+0.090000	+0.008277	+0.160439	+2.282320
+0.100000	+0.010000	+0.184530	+2.535912
+0.110000	+0.011971	+0.209550	+2.467956
+0.120000	+0.014189	+0.233890	+2.400000
+0.130000	+0.016646	+0.257550	+2.332044
+0.140000	+0.019337	+0.280530	+2.264088
+0.150000	+0.022255	+0.302831	+2.196133
+0.160000	+0.025392	+0.324453	+2.128177
+0.170000	+0.028742	+0.345395	+2.060221
+0.180000	+0.032297	+0.365657	+1.992265
+0.190000	+0.036053	+0.385240	+1.924309
+0.200000	+0.040000	+0.404144	+1.856354
+0.210000	+0.044135	+0.422798	+1.874586
+0.220000	+0.048457	+0.441635	+1.892818
+0.230000	+0.052968	+0.460655	+1.911050
+0.240000	+0.057670	+0.479856	+1.929282
+0.250000	+0.062566	+0.499240	+1.947514
+0.260000	+0.067656	+0.518807	+1.965746
+0.270000	+0.072942	+0.538555	+1.983978
+0.280000	+0.078427	+0.558486	+2.002210
+0.290000	+0.084113	+0.578599	+2.020442
+0.300000	+0.090000	+0.598895	+2.038674
+0.310000	+0.096091	+0.619257	+2.033702
+0.320000	+0.102385	+0.639569	+2.028729
+0.330000	+0.108882	+0.659831	+2.023757
+0.340000	+0.115581	+0.680044	+2.018785
+0.350000	+0.122483	+0.700207	+2.013812
+0.360000	+0.129585	+0.720320	+2.008840
+0.370000	+0.136889	+0.740384	+2.003867
+0.380000	+0.144393	+0.760398	+1.998895
+0.390000	+0.152097	+0.780362	+1.993923
+0.400000	+0.160000	+0.800276	+1.988950
+0.410000	+0.168102	+0.820174	+1.990608
+0.420000	+0.176404	+0.840088	+1.992265
+0.430000	+0.184904	+0.860019	+1.993923
+0.440000	+0.193604	+0.879967	+1.995580
+0.450000	+0.202503	+0.899931	+1.997238
+0.460000	+0.211603	+0.919912	+1.998895
+0.470000	+0.220902	+0.939909	+2.000552
+0.480000	+0.230401	+0.959923	+2.002210
+0.490000	+0.240100	+0.979953	+2.003867
+0.500000	+0.250000	+1.000000	+2.005525
+0.510000	+0.260100	+1.020047	+2.003867
+0.520000	+0.270401	+1.040077	+2.002210
+0.530000	+0.280902	+1.060091	+2.000552
+0.540000	+0.291603	+1.080088	+1.998895
+0.550000	+0.302503	+1.100069	+1.997238
+0.560000	+0.313604	+1.120033	+1.995580
+0.570000	+0.324904	+1.139981	+1.993923
+0.580000	+0.336404	+1.159912	+1.992265
+0.590000	+0.348102	+1.179826	+1.990608
+0.600000	+0.360000	+1.199724	+1.988950
+0.610000	+0.372097	+1.219638	+1.993923
+0.620000	+0.384393	+1.239602	+1.998895
+0.630000	+0.396889	+1.259616	+2.003867
+0.640000	+0.409585	+1.279680	+2.008840
+0.650000	+0.422483	+1.299793	+2.013812
+0.660000	+0.435581	+1.319956	+2.018785
+0.670000	+0.448882	+1.340169	+2.023757
+0.680000	+0.462385	+1.360431	+2.028729
+0.690000	+0.476091	+1.380743	+2.033702
+0.700000	+0.490000	+1.401105	+2.038674
+0.710000	+0.504113	+1.421401	+2.020442
+0.720000	+0.518427	+1.441514	+2.002210
+0.730000	+0.532942	+1.461445	+1.983978
+0.740000	+0.547656	+1.481193	+1.965746
+0.750000	+0.562566	+1.500760	+1.947514
+0.760000	+0.577670	+1.520144	+1.929282
+0.770000	+0.592968	+1.539345	+1.911050
+0.780000	+0.608457	+1.558365	+1.892818
+0.790000	+0.624135	+1.577202	+1.874586
+0.800000	+0.640000	+1.595856	+1.856354
+0.810000	+0.656053	+1.614760	+1.924309
+0.820000	+0.672297	+1.634343	+1.992265
+0.830000	+0.688742	+1.654605	+2.060221
+0.840000	+0.705392	+1.675547	+2.128177
+0.850000	+0.722255	+1.697169	+2.196133
+0.860000	+0.739337	+1.719470	+2.264088
+0.870000	+0.756646	+1.742450	+2.332044
+0.880000	+0.774189	+1.766110	+2.400000
+0.890000	+0.791971	+1.790450	+2.467956
+0.900000	+0.810000	+1.815470	+2.535912
+0.910000	+0.828277	+1.839561	+2.282320
+0.920000	+0.846783	+1.861116	+2.028729
+0.930000	+0.865491	+1.880135	+1.775138
+0.940000	+0.884377	+1.896619	+1.521547
+0.950000	+0.903415	+1.910566	+1.267956
+0.960000	+0.922580	+1.921978	+1.014365
+0.970000	+0.941846	+1.930854	+0.760773
+0.980000	+0.961189	+1.937193	+0.507182
+0.990000	+0.980582	+1.940997	+0.253591
+1.000000	+1.000000	+1.942265	+0.000000
