a=	+0.999050	b=	+1.000000	n=	+20	r=	+3.500000
x	g(x)	g'(x)	g''(x)
+0.999181	+0.997545	+2.996791	+13.492705
+0.999182	+0.997548	+2.996804	+13.413145
+0.999183	+0.997551	+2.996817	+13.333586
+0.999184	+0.997554	+2.996831	+13.254027
+0.999185	+0.997557	+2.996844	+13.174468
+0.999186	+0.997560	+2.996857	+13.094909
+0.999187	+0.997563	+2.996870	+13.015350
+0.999188	+0.997566	+2.996883	+12.935790
+0.999189	+0.997569	+2.996896	+12.856231
+0.999190	+0.997572	+2.996909	+12.776672
+0.999191	+0.997575	+2.996922	+12.697113
+0.999192	+0.997578	+2.996934	+12.617554
+0.999193	+0.997581	+2.996947	+12.537995
+0.999194	+0.997584	+2.996959	+12.458436
+0.999195	+0.997587	+2.996972	+12.378876
+0.999196	+0.997590	+2.996984	+12.299317
+0.999197	+0.997593	+2.996996	+12.219758
+0.999198	+0.997596	+2.997008	+12.140199
+0.999199	+0.997599	+2.997021	+12.060640
+0.999200	+0.997602	+2.997033	+11.981081
+0.999201	+0.997605	+2.997045	+11.901522
+0.999202	+0.997608	+2.997056	+11.821962
+0.999203	+0.997611	+2.997068	+11.742403
+0.999204	+0.997614	+2.997080	+11.662844
+0.999205	+0.997617	+2.997091	+11.583285
+0.999206	+0.997620	+2.997103	+11.503726
+0.999207	+0.997623	+2.997114	+11.424167
+0.999208	+0.997626	+2.997126	+11.344608
+0.999209	+0.997629	+2.997137	+11.265048
+0.999210	+0.997632	+2.997148	+11.185489
+0.999211	+0.997635	+2.997160	+11.105930
+0.999212	+0.997638	+2.997171	+11.026371
+0.999213	+0.997641	+2.997182	+10.946812
+0.999214	+0.997644	+2.997193	+10.867253
+0.999215	+0.997647	+2.997203	+10.787693
+0.999216	+0.997650	+2.997214	+10.708134
+0.999217	+0.997653	+2.997225	+10.628575
+0.999218	+0.997656	+2.997235	+10.549016
+0.999219	+0.997659	+2.997246	+10.469457
+0.999220	+0.997662	+2.997256	+10.389898
+0.999221	+0.997664	+2.997267	+10.310339
+0.999222	+0.997667	+2.997277	+10.230779
+0.999223	+0.997670	+2.997287	+10.151220
+0.999224	+0.997673	+2.997297	+10.071661
+0.999225	+0.997676	+2.997307	+9.992102
+0.999226	+0.997679	+2.997317	+9.912543
+0.999227	+0.997682	+2.997327	+9.832984
+0.999228	+0.997685	+2.997337	+9.753425
+0.999229	+0.997688	+2.997347	+9.673865
+0.999230	+0.997691	+2.997356	+9.594306
+0.999231	+0.997694	+2.997366	+9.514747
+0.999232	+0.997697	+2.997375	+9.435188
+0.999233	+0.997700	+2.997385	+9.355629
+0.999234	+0.997703	+2.997394	+9.276070
+0.999235	+0.997706	+2.997403	+9.196511
+0.999236	+0.997709	+2.997412	+9.116951
+0.999237	+0.997712	+2.997421	+9.037392
+0.999238	+0.997715	+2.997430	+8.957833
+0.999239	+0.997718	+2.997439	+8.878274
+0.999240	+0.997721	+2.997448	+8.798715
+0.999241	+0.997724	+2.997457	+8.719156
+0.999242	+0.997727	+2.997466	+8.639596
+0.999243	+0.997730	+2.997474	+8.560037
+0.999244	+0.997733	+2.997483	+8.480478
+0.999245	+0.997736	+2.997491	+8.400919
+0.999246	+0.997739	+2.997500	+8.321360
+0.999247	+0.997742	+2.997508	+8.241801
+0.999248	+0.997745	+2.997516	+8.162242
+0.999249	+0.997748	+2.997524	+8.082682
+0.999250	+0.997751	+2.997532	+8.003123
+0.999251	+0.997754	+2.997540	+7.923564
+0.999252	+0.997757	+2.997548	+7.844005
+0.999253	+0.997760	+2.997556	+7.764446
+0.999254	+0.997763	+2.997564	+7.684887
+0.999255	+0.997766	+2.997571	+7.605328
+0.999256	+0.997769	+2.997579	+7.525768
+0.999257	+0.997772	+2.997586	+7.446209
+0.999258	+0.997775	+2.997594	+7.366650
