a=	+0.999050	b=	+1.000000	n=	+20	r=	+3.500000
x	g(x)	g'(x)	g''(x)
+0.999050	+0.996205	+4.000535	+38.774628
+0.999051	+0.996209	+3.989064	+38.651026
+0.999052	+0.996213	+3.989102	+38.527424
+0.999053	+0.996217	+3.989141	+38.403823
+0.999054	+0.996221	+3.989179	+38.280221
+0.999055	+0.996225	+3.989217	+38.156619
+0.999056	+0.996229	+3.989255	+38.033018
+0.999057	+0.996233	+3.989293	+37.909416
+0.999058	+0.996237	+3.989331	+37.785814
+0.999059	+0.996241	+3.989369	+37.662213
+0.999060	+0.996245	+3.989406	+37.538611
+0.999061	+0.996249	+3.989444	+37.415009
+0.999062	+0.996253	+3.989481	+37.291408
+0.999063	+0.996257	+3.989519	+37.167806
+0.999064	+0.996261	+3.989556	+37.044205
+0.999065	+0.996265	+3.989593	+36.920603
+0.999066	+0.996269	+3.989629	+36.797001
+0.999067	+0.996273	+3.989666	+36.673400
+0.999068	+0.996277	+3.989703	+36.549798
+0.999069	+0.996281	+3.989739	+36.426196
+0.999070	+0.996285	+3.989776	+36.302595
+0.999071	+0.996288	+3.989812	+36.178993
+0.999072	+0.996292	+3.989848	+36.055391
+0.999073	+0.996296	+3.989884	+35.931790
+0.999074	+0.996300	+3.989920	+35.808188
+0.999075	+0.996304	+3.989956	+35.684587
+0.999076	+0.996308	+3.989991	+35.560985
+0.999077	+0.996312	+3.990027	+35.437383
+0.999078	+0.996316	+3.990062	+35.313782
+0.999079	+0.996320	+3.990097	+35.190180
+0.999080	+0.996324	+3.990133	+35.066578
+0.999081	+0.996328	+3.990168	+34.942977
+0.999082	+0.996332	+3.990202	+34.819375
+0.999083	+0.996336	+3.990237	+34.695773
+0.999084	+0.996340	+3.990272	+34.572172
+0.999085	+0.996344	+3.990306	+34.448570
+0.999086	+0.996348	+3.990341	+34.324968
+0.999087	+0.996352	+3.990375	+34.201367
+0.999088	+0.996356	+3.990409	+34.077765
+0.999089	+0.996360	+3.990443	+33.954164
+0.999090	+0.996364	+3.990477	+33.830562
+0.999091	+0.996368	+3.990511	+33.706960
+0.999092	+0.996372	+3.990544	+33.583359
+0.999093	+0.996376	+3.990578	+33.459757
+0.999094	+0.996380	+3.990611	+33.336155
+0.999095	+0.996384	+3.990645	+33.212554
+0.999096	+0.996388	+3.990678	+33.088952
+0.999097	+0.996392	+3.990711	+32.965350
+0.999098	+0.996396	+3.990744	+32.841749
+0.999099	+0.996400	+3.990776	+32.718147
+0.999100	+0.996404	+3.990809	+32.594545
+0.999101	+0.996408	+3.990842	+32.470944
+0.999102	+0.996412	+3.990874	+32.347342
+0.999103	+0.996416	+3.990906	+32.223741
+0.999104	+0.996420	+3.990939	+32.100139
+0.999105	+0.996424	+3.990971	+31.976537
+0.999106	+0.996428	+3.991002	+31.852936
+0.999107	+0.996432	+3.991034	+31.729334
+0.999108	+0.996436	+3.991066	+31.605732
+0.999109	+0.996440	+3.991097	+31.482131
+0.999110	+0.996444	+3.991129	+31.358529
+0.999111	+0.996448	+3.991160	+31.234927
+0.999112	+0.996452	+3.991191	+31.111326
+0.999113	+0.996456	+3.991222	+30.987724
+0.999114	+0.996460	+3.991253	+30.864123
+0.999115	+0.996464	+3.991284	+30.740521
+0.999116	+0.996468	+3.991315	+30.616919
+0.999117	+0.996472	+3.991345	+30.493318
+0.999118	+0.996476	+3.991376	+30.369716
+0.999119	+0.996480	+3.991406	+30.246114
+0.999120	+0.996484	+3.991436	+30.122513
+0.999121	+0.996488	+3.991466	+29.998911
+0.999122	+0.996492	+3.991496	+29.875309
+0.999123	+0.996496	+3.991526	+29.751708
+0.999124	+0.996500	+3.991556	+29.628106
+0.999125	+0.996504	+3.991585	+29.504504
+0.999126	+0.996508	+3.991615	+29.380903
+0.999127	+0.996512	+3.991644	+29.257301
+0.999128	+0.996516	+3.991673	+29.133700
+0.999129	+0.996520	+3.991702	+29.010098
+0.999130	+0.996524	+3.991731	+28.886496
+0.999131	+0.996528	+3.991760	+28.762895
+0.999132	+0.996532	+3.991789	+28.639293
+0.999133	+0.996536	+3.991817	+28.515691
+0.999134	+0.996540	+3.991846	+28.392090
+0.999135	+0.996544	+3.991874	+28.268488
+0.999136	+0.996548	+3.991902	+28.144886
+0.999137	+0.996552	+3.991931	+28.021285
+0.999138	+0.996556	+3.991958	+27.897683
+0.999139	+0.996560	+3.991986	+27.774082
+0.999140	+0.996564	+3.992014	+27.650480
+0.999141	+0.996568	+3.992042	+27.526878
+0.999142	+0.996572	+3.992069	+27.403277
+0.999143	+0.996576	+3.992096	+27.279675
+0.999144	+0.996580	+3.992124	+27.156073
+0.999145	+0.996584	+3.992151	+27.032472
+0.999146	+0.996588	+3.992178	+26.908870
+0.999147	+0.996592	+3.992205	+26.785268
+0.999148	+0.996596	+3.992231	+26.661667
+0.999149	+0.996600	+3.992258	+26.538065
+0.999150	+0.996604	+3.992284	+26.414463
+0.999151	+0.996608	+3.992311	+26.290862
+0.999152	+0.996612	+3.992337	+26.167260
+0.999153	+0.996616	+3.992363	+26.043659
+0.999154	+0.996620	+3.992389	+25.920057
+0.999155	+0.996624	+3.992415	+25.796455
+0.999156	+0.996628	+3.992441	+25.672854
+0.999157	+0.996632	+3.992466	+25.549252
+0.999158	+0.996636	+3.992492	+25.425650
