a=	+0.000000	b=	+1.000000	n=	+20	h=	+0.050000
x	g(x)	g'(x)	g''(x)
+0.000000	+0.000000	-0.000000	+0.000000
+0.010000	+0.000001	+0.000300	+0.060000
+0.020000	+0.000008	+0.001200	+0.120000
+0.030000	+0.000027	+0.002700	+0.180000
+0.040000	+0.000064	+0.004800	+0.240000
+0.050000	+0.000125	+0.007500	+0.300000
+0.060000	+0.000216	+0.010800	+0.360000
+0.070000	+0.000343	+0.014700	+0.420000
+0.080000	+0.000512	+0.019200	+0.480000
+0.090000	+0.000729	+0.024300	+0.540000
+0.100000	+0.001000	+0.030000	+0.600000
+0.110000	+0.001331	+0.036300	+0.660000
+0.120000	+0.001728	+0.043200	+0.720000
+0.130000	+0.002197	+0.050700	+0.780000
+0.140000	+0.002744	+0.058800	+0.840000
+0.150000	+0.003375	+0.067500	+0.900000
+0.160000	+0.004096	+0.076800	+0.960000
+0.170000	+0.004913	+0.086700	+1.020000
+0.180000	+0.005832	+0.097200	+1.080000
+0.190000	+0.006859	+0.108300	+1.140000
+0.200000	+0.008000	+0.120000	+1.200000
+0.210000	+0.009261	+0.132300	+1.260000
+0.220000	+0.010648	+0.145200	+1.320000
+0.230000	+0.012167	+0.158700	+1.380000
+0.240000	+0.013824	+0.172800	+1.440000
+0.250000	+0.015625	+0.187500	+1.500000
+0.260000	+0.017576	+0.202800	+1.560000
+0.270000	+0.019683	+0.218700	+1.620000
+0.280000	+0.021952	+0.235200	+1.680000
+0.290000	+0.024389	+0.252300	+1.740000
+0.300000	+0.027000	+0.270000	+1.800000
+0.310000	+0.029791	+0.288300	+1.860000
+0.320000	+0.032768	+0.307200	+1.920000
+0.330000	+0.035937	+0.326700	+1.980000
+0.340000	+0.039304	+0.346800	+2.040000
+0.350000	+0.042875	+0.367500	+2.100000
+0.360000	+0.046656	+0.388800	+2.160000
+0.370000	+0.050653	+0.410700	+2.220000
+0.380000	+0.054872	+0.433200	+2.280000
+0.390000	+0.059319	+0.456300	+2.339999
+0.400000	+0.064000	+0.480000	+2.399999
+0.410000	+0.068921	+0.504300	+2.460000
+0.420000	+0.074088	+0.529200	+2.520001
+0.430000	+0.079507	+0.554700	+2.580002
+0.440000	+0.085184	+0.580800	+2.640002
+0.450000	+0.091125	+0.607500	+2.700003
+0.460000	+0.097336	+0.634800	+2.760000
+0.470000	+0.103823	+0.662700	+2.819997
+0.480000	+0.110592	+0.691200	+2.879994
+0.490000	+0.117649	+0.720300	+2.939991
+0.500000	+0.125000	+0.750000	+2.999989
+0.510000	+0.132651	+0.780300	+3.059999
+0.520000	+0.140608	+0.811200	+3.120010
+0.530000	+0.148877	+0.842700	+3.180021
+0.540000	+0.157464	+0.874800	+3.240032
+0.550000	+0.166375	+0.907501	+3.300043
+0.560000	+0.175616	+0.940801	+3.360002
+0.570000	+0.185193	+0.974701	+3.419962
+0.580000	+0.195112	+1.009200	+3.479921
+0.590000	+0.205379	+1.044299	+3.539881
+0.600000	+0.216000	+1.079998	+3.599841
+0.610000	+0.226981	+1.116297	+3.659991
+0.620000	+0.238328	+1.153198	+3.720142
+0.630000	+0.250047	+1.190700	+3.780293
+0.640000	+0.262144	+1.228803	+3.840444
+0.650000	+0.274625	+1.267509	+3.900595
+0.660000	+0.287496	+1.306812	+3.960032
+0.670000	+0.300763	+1.346709	+4.019469
+0.680000	+0.314432	+1.387201	+4.078906
+0.690000	+0.328509	+1.428287	+4.138343
+0.700000	+0.343000	+1.469968	+4.197779
+0.710000	+0.357911	+1.512256	+4.259881
+0.720000	+0.373247	+1.555166	+4.321983
+0.730000	+0.389016	+1.598696	+4.384084
+0.740000	+0.405223	+1.642847	+4.446186
+0.750000	+0.421875	+1.687620	+4.508287
+0.760000	+0.438977	+1.732963	+4.560444
+0.770000	+0.456536	+1.778828	+4.612601
+0.780000	+0.474556	+1.825215	+4.664758
+0.790000	+0.493042	+1.872124	+4.716915
+0.800000	+0.512000	+1.919554	+4.769071
+0.810000	+0.531435	+1.967691	+4.858343
+0.820000	+0.551357	+2.016720	+4.947614
+0.830000	+0.571773	+2.066643	+5.036885
+0.840000	+0.592693	+2.117458	+5.126156
+0.850000	+0.614125	+2.169166	+5.215427
+0.860000	+0.636077	+2.221074	+5.166186
+0.870000	+0.658545	+2.272490	+5.116944
+0.880000	+0.681525	+2.323413	+5.067703
+0.890000	+0.705011	+2.373844	+5.018461
+0.900000	+0.729000	+2.423782	+4.969219
+0.910000	+0.753494	+2.475813	+5.436915
+0.920000	+0.778532	+2.532521	+5.904610
+0.930000	+0.804160	+2.593905	+6.372305
+0.940000	+0.830426	+2.659967	+6.840000
+0.950000	+0.857375	+2.730705	+7.307695
+0.960000	+0.885023	+2.796474	+5.846156
+0.970000	+0.913256	+2.847628	+4.384617
+0.980000	+0.941927	+2.884167	+2.923078
+0.990000	+0.970890	+2.906090	+1.461539
+1.000000	+1.000000	+2.913397	+0.000000
